Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-02-25,RELIANCE,EQ,841.45,848.8,856.5,841.05,844.55,843.15,847.86,3491406,296020739935000.0,77841,2114395,0.6056
2015-02-26,RELIANCE,EQ,843.15,846.1,850.0,836.6,848.5,842.0,841.76,4905338,412909510575000.0,85739,3299306,0.6726000000000001
2015-02-27,RELIANCE,EQ,842.0,847.55,861.0,844.6,859.3,855.55,851.92,4265220,363364140950000.0,68505,2942881,0.6900000000000001
2015-02-28,RELIANCE,EQ,855.55,862.8,868.4,846.6,867.0,865.15,860.13,2093776,180092691185000.0,45333,641311,0.3063
2015-03-02,RELIANCE,EQ,865.15,869.0,875.5,855.55,864.95,864.25,862.25,3332631,287356509820000.0,65921,1693328,0.5081
2015-03-03,RELIANCE,EQ,864.25,869.0,906.45,867.4,900.15,900.8,894.08,4717254,421757927905000.0,113396,2087683,0.4426
2015-03-04,RELIANCE,EQ,900.8,906.0,909.65,880.05,886.25,887.85,894.98,3308981,296147978095000.0,74794,1655923,0.5004
2015-03-05,RELIANCE,EQ,887.85,892.5,898.75,878.15,886.0,884.95,887.43,2449658,217389201530000.03,61861,1127363,0.46020000000000005
2015-03-09,RELIANCE,EQ,884.95,885.1,891.75,864.15,865.4,869.65,878.6,3215112,282478147570000.0,81492,1652011,0.5138
2015-03-10,RELIANCE,EQ,869.65,868.95,875.8,855.4,858.0,859.15,863.46,3482250,300677676340000.0,106079,2053139,0.5896
2015-03-11,RELIANCE,EQ,859.15,860.95,869.6,852.4,853.5,855.95,860.98,2659765,228999380330000.03,51290,1375936,0.5173
2015-03-12,RELIANCE,EQ,855.95,858.0,867.4,855.6,863.5,863.8,860.09,2693254,231644827469999.97,69814,1429665,0.5307999999999999
2015-03-13,RELIANCE,EQ,863.8,869.0,869.6,847.0,852.4,850.1,856.33,2956988,253214648965000.0,65593,1637601,0.5538000000000001
2015-03-16,RELIANCE,EQ,850.1,851.5,853.95,840.3,843.2,842.1,843.28,3163589,266780447475000.0,69775,1882510,0.5951
2015-03-17,RELIANCE,EQ,842.1,850.55,859.9,841.0,856.05,856.85,850.6,4359100,370786050520000.0,110131,2454813,0.5631
2015-03-18,RELIANCE,EQ,856.85,857.0,872.25,854.7,868.95,868.65,863.08,2118940,182881374675000.0,53546,912999,0.43090000000000006
2015-03-19,RELIANCE,EQ,868.65,875.55,876.7,854.1,854.7,856.15,864.62,3185218,275400073335000.0,72258,1832137,0.5752
2015-03-20,RELIANCE,EQ,856.15,857.9,861.15,848.6,858.0,854.1,854.68,2378572,203290671150000.0,56037,1375418,0.5783
2015-03-23,RELIANCE,EQ,854.1,856.5,864.0,838.1,842.0,841.95,846.02,3029112,256269958775000.0,84186,1628343,0.5376
2015-03-24,RELIANCE,EQ,841.95,842.1,854.3,842.1,848.9,847.95,848.15,2111750,179108931950000.0,67428,1084758,0.5136999999999999
2015-03-25,RELIANCE,EQ,847.95,849.0,849.5,841.0,842.0,844.9,843.72,2346393,197969649980000.0,63316,1681761,0.7167
2015-03-26,RELIANCE,EQ,844.9,841.1,849.25,824.1,831.0,829.3,835.77,4713693,393954317140000.0,81113,2809895,0.5961
2015-03-27,RELIANCE,EQ,829.3,833.9,835.0,801.45,810.0,811.7,815.7,5332142,434941910705000.0,112001,2938300,0.5511
2015-03-30,RELIANCE,EQ,811.7,816.6,817.7,796.45,814.1,810.75,807.78,3961481,320000396385000.0,105633,2057695,0.5194
2015-03-31,RELIANCE,EQ,810.75,818.0,832.9,818.0,822.9,826.0,826.68,4625471,382377248595000.0,125251,2610631,0.5644
2015-04-01,RELIANCE,EQ,826.0,824.9,839.0,813.1,835.15,836.05,825.5,3334693,275279580960000.0,87280,1731987,0.5194
2015-04-06,RELIANCE,EQ,836.05,836.0,838.0,821.4,823.65,824.65,826.2,2819367,232936626390000.0,92986,1890668,0.6706000000000001
2015-04-07,RELIANCE,EQ,824.65,826.05,836.1,826.05,832.15,832.85,831.39,4863211,404321739350000.0,76000,3073880,0.6321
2015-04-08,RELIANCE,EQ,832.85,833.5,869.5,832.9,863.0,865.9,855.45,5673710,485357287210000.06,112110,3013003,0.531
2015-04-09,RELIANCE,EQ,865.9,865.5,899.0,858.8,897.0,895.1,880.85,6234931,549206819010000.06,132040,3314067,0.5315
2015-04-10,RELIANCE,EQ,895.1,894.95,908.8,889.1,904.0,904.35,899.4,5788462,520614122920000.0,111502,3098215,0.5352
2015-04-13,RELIANCE,EQ,904.35,906.8,924.75,898.75,922.3,922.5,914.98,4612201,422008651360000.0,163738,2699653,0.5853
2015-04-15,RELIANCE,EQ,922.5,921.0,939.6,907.2,923.9,923.65,919.83,5081693,467431501780000.0,117445,2582704,0.5082
2015-04-16,RELIANCE,EQ,923.65,924.5,938.0,919.0,929.55,928.35,928.04,4612192,428029013550000.0,88219,2190459,0.47490000000000004
2015-04-17,RELIANCE,EQ,928.35,935.05,944.3,922.6,924.1,926.85,934.15,5476551,511592340564999.94,143446,2563930,0.4682
2015-04-20,RELIANCE,EQ,926.85,937.3,937.45,878.5,883.75,885.65,901.51,8601165,775401393460000.0,213701,3769134,0.43820000000000003
2015-04-21,RELIANCE,EQ,885.65,890.15,895.5,872.45,876.45,876.45,885.51,4047524,358412258180000.0,96711,1995403,0.493
2015-04-22,RELIANCE,EQ,876.45,881.9,886.75,867.0,879.0,879.75,877.9,3374188,296219809540000.0,79083,1544890,0.4579
2015-04-23,RELIANCE,EQ,879.75,883.85,889.4,869.05,877.0,877.05,878.99,3048801,267986336419999.97,81081,1368937,0.449
2015-04-24,RELIANCE,EQ,877.05,877.0,884.45,868.65,882.4,878.9,878.25,2905259,255155210119999.97,81160,1544087,0.5315
2015-04-27,RELIANCE,EQ,878.9,880.05,887.5,871.45,872.2,875.3,879.51,2524227,222008876569999.97,89364,1200449,0.4756
2015-04-28,RELIANCE,EQ,875.3,874.7,882.0,858.55,862.9,865.2,868.23,3357286,291490368110000.0,90615,1890627,0.5631
2015-04-29,RELIANCE,EQ,865.2,862.0,870.55,847.4,848.2,850.0,859.96,3746012,322143713425000.0,76980,2175833,0.5808
2015-04-30,RELIANCE,EQ,850.0,850.0,865.9,847.95,865.0,862.35,857.81,7955186,682399951655000.0,121772,5407522,0.6797
2015-05-04,RELIANCE,EQ,862.35,866.2,893.9,860.5,892.75,890.95,877.55,3446692,302465862645000.0,81908,1994809,0.5788000000000001
2015-05-05,RELIANCE,EQ,890.95,893.7,901.8,885.1,891.15,892.15,892.74,4079468,364189094745000.0,91479,2226928,0.5459
2015-05-06,RELIANCE,EQ,892.15,890.0,896.75,872.0,877.0,880.25,881.92,5128997,452337404050000.0,112601,3021295,0.5891
2015-05-07,RELIANCE,EQ,880.25,875.0,878.45,860.0,867.0,870.75,867.56,3825462,331880185775000.0,99893,2068835,0.5408
2015-05-08,RELIANCE,EQ,870.75,871.0,893.75,861.1,888.25,889.7,881.17,3909788,344520020810000.0,88315,2102564,0.5378000000000001
2015-05-11,RELIANCE,EQ,889.7,892.85,899.45,883.4,893.8,895.95,891.99,3249083,289815253020000.0,85186,1550053,0.4771
2015-05-12,RELIANCE,EQ,895.95,894.9,894.9,865.15,871.15,868.7,872.93,3805956,332234949225000.0,98816,1983358,0.5211
2015-05-13,RELIANCE,EQ,868.7,873.35,888.65,857.2,885.6,885.1,872.11,3817667,332942906755000.0,70562,1668574,0.43710000000000004
2015-05-14,RELIANCE,EQ,885.1,886.0,886.2,870.3,877.0,878.2,878.07,2818365,247473043860000.0,56726,1327843,0.4711
2015-05-15,RELIANCE,EQ,878.2,881.9,886.95,870.1,872.15,873.95,876.77,1904490,166980016300000.0,50133,841744,0.44200000000000006
